Short SAS Name1,Long SAS Name2,Label,Type,Length
EPILEP_MEDICARE,EPILEP_MEDICARE,Epilepsy End-of-Year Indicator - Medicare Only Claims,NUM,1.0
EPILEP_MEDICARE_EVER,EPILEP_MEDICARE_EVER,Epilepsy First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
FIBRO_MEDICARE,FIBRO_MEDICARE,"Fibromyalgia, Chronic Pain and Fatigue End-of-Year Indicator - Medicare Only Claims",NUM,1.0
FIBRO_MEDICARE_EVER,FIBRO_MEDICARE_EVER,"Fibromyalgia, Chronic Pain and Fatigue First Ever Occurrence Date - Medicare Only Claims",DATE,8.0
HEARIM_MEDICARE,HEARIM_MEDICARE,Sensory - Deafness and Hearing Impairment End-of-Year Indicator - Medicare Only Claims,NUM,1.0
HEARIM_MEDICARE_EVER,HEARIM_MEDICARE_EVER,Sensory - Deafness and Hearing Impairment First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
HEPVIRAL_MEDICARE,HEPVIRAL_MEDICARE,Viral Hepatitis (General) End-of-Year Indicator - Medicare Only Claims,NUM,1.0
HEPVIRAL_MEDICARE_EVER,HEPVIRAL_MEDICARE_EVER,Viral Hepatitis (General) First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
HIVAIDS_MEDICARE,HIVAIDS_MEDICARE,Human Immunodeficiency Virus and/or Acquired Immunodeficiency Syndrome (HIV/AIDS) End-of-Year Indicator - Medicare Only Claims,NUM,1.0
HIVAIDS_MEDICARE_EVER,HIVAIDS_MEDICARE_EVER,Human Immunodeficiency Virus and/or Acquired Immunodeficiency Syndrome (HIV/AIDS) First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
INTDIS_MEDICARE,INTDIS_MEDICARE,Intellectual Disabilities and Related Conditions End-of-Year Indicator - Medicare Only Claims,NUM,1.0
INTDIS_MEDICARE_EVER,INTDIS_MEDICARE_EVER,Intellectual Disabilities and Related Conditions First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
LEADIS_MEDICARE,LEADIS_MEDICARE,Learning Disabilities End-of-Year Indicator - Medicare Only Claims,NUM,1.0
LEADIS_MEDICARE_EVER,LEADIS_MEDICARE_EVER,Learning Disabilities First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
LEUKLYMPH_MEDICARE,LEUKLYMPH_MEDICARE,Leukemias and Lymphomas End-of-Year Indicator - Medicare Only Claims,NUM,1.0
LEUKLYMPH_MEDICARE_EVER,LEUKLYMPH_MEDICARE_EVER,Leukemias and Lymphomas First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
LIVER_MEDICARE,LIVER_MEDICARE,"Liver Disease, Cirrhosis and Other Liver Conditions (excluding Hepatitis) End-of-Year Indicator - Medicare Only Claims",NUM,1.0
LIVER_MEDICARE_EVER,LIVER_MEDICARE_EVER,"Liver Disease, Cirrhosis and Other Liver Conditions (excluding Hepatitis) First Ever Occurrence Date - Medicare Only Claims",DATE,8.0
MIGRAINE_MEDICARE,MIGRAINE_MEDICARE,Migraine and other Chronic Headache End-of-Year Indicator - Medicare Only Claims,NUM,1.0
MIGRAINE_MEDICARE_EVER,MIGRAINE_MEDICARE_EVER,Migraine and other Chronic Headache First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
MOBIMP_MEDICARE,MOBIMP_MEDICARE,Mobility Impairments End-of-Year Indicator - Medicare Only Claims,NUM,1.0
MOBIMP_MEDICARE_EVER,MOBIMP_MEDICARE_EVER,Mobility Impairments First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
MULSCL_MEDICARE,MULSCL_MEDICARE,Multiple Sclerosis and Transverse Myelitis End-of-Year Indicator - Medicare Only Claims,NUM,1.0
MULSCL_MEDICARE_EVER,MULSCL_MEDICARE_EVER,Multiple Sclerosis and Transverse Myelitis First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
MUSDYS_MEDICARE,MUSDYS_MEDICARE,Muscular Dystrophy End-of-Year Indicator - Medicare Only Claims,NUM,1.0
MUSDYS_MEDICARE_EVER,MUSDYS_MEDICARE_EVER,Muscular Dystrophy First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
OBESITY_MEDICARE,OBESITY_MEDICARE,Obesity End-of-Year Indicator - Medicare Only Claims,NUM,1.0
OBESITY_MEDICARE_EVER,OBESITY_MEDICARE_EVER,Obesity First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
OTHDEL_MEDICARE,OTHDEL_MEDICARE,Other Developmental Delays End-of-Year Indicator - Medicare Only Claims,NUM,1.0
OTHDEL_MEDICARE_EVER,OTHDEL_MEDICARE_EVER,Other Developmental Delays First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
OUD_ANY_MEDICARE,OUD_ANY_MEDICARE,Overarching OUD Disorder (Any of the Three Sub-Indicators) - Medicare Only Claims,NUM,1.0
OUD_ANY_MEDICARE_EVER,OUD_ANY_MEDICARE_EVER,Overarching OUD Disorder (Any of the Three Sub-Indicators) - First Ever Occurrence Date,DATE,8.0
OUD_DX_MEDICARE,OUD_DX_MEDICARE,Diagnosis and Procedure Basis for OUD - Medicare Only Claims,NUM,1.0
OUD_DX_MEDICARE_EVER,OUD_DX_MEDICARE_EVER,Diagnosis and Procedure Basis for OUD First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
OUD_HOSP_MEDICARE,OUD_HOSP_MEDICARE,Opioid-Related Hospitalization or ED - Medicare Only Claims,NUM,1.0
OUD_HOSP_MEDICARE_EVER,OUD_HOSP_MEDICARE_EVER,Opioid-Related Hospitalization or ED First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
OUD_MAT_MEDICARE,OUD_MAT_MEDICARE,Use of Medication-Assisted Treatment (MAT) - Medicare Only Claims,NUM,1.0
OUD_MAT_MEDICARE_EVER,OUD_MAT_MEDICARE_EVER,Use of Medication-Assisted Treatment (MAT) First Ever Occurrence Date - Medicare Only C,DATE,8.0
PSDS_MEDICARE,PSDS_MEDICARE,Personality Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
PSDS_MEDICARE_EVER,PSDS_MEDICARE_EVER,Personality Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
PTRA_MEDICARE,PTRA_MEDICARE,Post-Traumatic Stress Disorder End-of-Year Indicator - Medicare Only Claims,NUM,1.0
PTRA_MEDICARE_EVER,PTRA_MEDICARE_EVER,Post-Traumatic Stress Disorder First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
PVD_MEDICARE,PVD_MEDICARE,Peripheral Vascular Disease End-of-Year Indicator - Medicare Only Claims,NUM,1.0
PVD_MEDICARE_EVER,PVD_MEDICARE_EVER,Peripheral Vascular Disease First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
SCD_MEDICARE,SCD_MEDICARE,Sickle Cell Disease End-of-Year Indicator - Medicare Only Claims,NUM,1.0
SCD_MEDICARE_EVER,SCD_MEDICARE_EVER,Sickle Cell Disease First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
SCHI_MEDICARE,SCHI_MEDICARE,Schizophrenia End-of-Year Indicator - Medicare Only Claims,NUM,1.0
SCHI_MEDICARE_EVER,SCHI_MEDICARE_EVER,Schizophrenia First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
SCHIOT_MEDICARE,SCHIOT_MEDICARE,Schizophrenia and Other Psychotic Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
SCHIOT_MEDICARE_EVER,SCHIOT_MEDICARE_EVER,Schizophrenia and Other Psychotic Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
SPIBIF_MEDICARE,SPIBIF_MEDICARE,Spina Bifida and Other Congenital Anomalies of the Nervous System End-of-Year Indicator - Medicare Only Claims,NUM,1.0
SPIBIF_MEDICARE_EVER,SPIBIF_MEDICARE_EVER,Spina Bifida and Other Congenital Anomalies of the Nervous System First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
SPIINJ_MEDICARE,SPIINJ_MEDICARE,Spinal Cord Injury End-of-Year Indicator - Medicare Only Claims,NUM,1.0
SPIINJ_MEDICARE_EVER,SPIINJ_MEDICARE_EVER,Spinal Cord Injury First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
TOBA_MEDICARE,TOBA_MEDICARE,Tobacco Use Disorders End-of-Year Indicator - Medicare Only Claims,NUM,1.0
TOBA_MEDICARE_EVER,TOBA_MEDICARE_EVER,Tobacco Use Disorders First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
ULCERS_MEDICARE,ULCERS_MEDICARE,Pressure Ulcers and Chronic Ulcers End-of-Year Indicator - Medicare Only Claims,NUM,1.0
ULCERS_MEDICARE_EVER,ULCERS_MEDICARE_EVER,Pressure Ulcers and Chronic Ulcers First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
VISUAL_MEDICARE,VISUAL_MEDICARE,Sensory - Blindness and Visual Impairment End-of-Year Indicator - Medicare Only Claims,NUM,1.0
VISUAL_MEDICARE_EVER,VISUAL_MEDICARE_EVER,Sensory - Blindness and Visual Impairment First Ever Occurrence Date - Medicare Only Claims,DATE,8.0
