Short SAS name,Long SAS name,Label,Type,Length,HHA file sequence1,New variables
ICD_DGNS_CD18,ICD_DGNS_CD18,Claim Diagnosis Code XVIII,CHAR,7.0,53.0,
ICD_DGNS_CD19,ICD_DGNS_CD19,Claim Diagnosis Code XIX,CHAR,7.0,54.0,
ICD_DGNS_CD20,ICD_DGNS_CD20,Claim Diagnosis Code XX,CHAR,7.0,55.0,
ICD_DGNS_CD21,ICD_DGNS_CD21,Claim Diagnosis Code XXI,CHAR,7.0,56.0,
ICD_DGNS_CD22,ICD_DGNS_CD22,Claim Diagnosis Code XXII,CHAR,7.0,57.0,
ICD_DGNS_CD23,ICD_DGNS_CD23,Claim Diagnosis Code XXIII,CHAR,7.0,58.0,
ICD_DGNS_CD24,ICD_DGNS_CD24,Claim Diagnosis Code XXIV,CHAR,7.0,59.0,
ICD_DGNS_CD25,ICD_DGNS_CD25,Claim Diagnosis Code XXV,CHAR,7.0,60.0,
FST_DGNS_E_CD,FST_DGNS_E_CD,First Claim Diagnosis E Code,CHAR,7.0,61.0,
ICD_DGNS_E_CD1,ICD_DGNS_E_CD1,Claim Diagnosis E Code I,CHAR,7.0,62.0,
ICD_DGNS_E_CD2,ICD_DGNS_E_CD2,Claim Diagnosis E Code II,CHAR,7.0,63.0,
ICD_DGNS_E_CD3,ICD_DGNS_E_CD3,Claim Diagnosis E Code III,CHAR,7.0,64.0,
ICD_DGNS_E_CD4,ICD_DGNS_E_CD4,Claim Diagnosis E Code IV,CHAR,7.0,65.0,
ICD_DGNS_E_CD5,ICD_DGNS_E_CD5,Claim Diagnosis E Code V,CHAR,7.0,66.0,
ICD_DGNS_E_CD6,ICD_DGNS_E_CD6,Claim Diagnosis E Code VI,CHAR,7.0,67.0,
ICD_DGNS_E_CD7,ICD_DGNS_E_CD7,Claim Diagnosis E Code VII,CHAR,7.0,68.0,
ICD_DGNS_E_CD8,ICD_DGNS_E_CD8,Claim Diagnosis E Code VIII,CHAR,7.0,69.0,
ICD_DGNS_E_CD9,ICD_DGNS_E_CD9,Claim Diagnosis E Code IX,CHAR,7.0,70.0,
ICD_DGNS_E_CD10,ICD_DGNS_E_CD10,Claim Diagnosis E Code X,CHAR,7.0,71.0,
ICD_DGNS_E_CD11,ICD_DGNS_E_CD11,Claim Diagnosis E Code XI,CHAR,7.0,72.0,
ICD_DGNS_E_CD12,ICD_DGNS_E_CD12,Claim Diagnosis E Code XII,CHAR,7.0,73.0,
LUPAIND,CLM_HHA_LUPA_IND_CD,Claim HHA Low Utilization Payment Adjustment (LUPA) Indicator Code,CHAR,1.0,74.0,
HHA_RFRL,CLM_HHA_RFRL_CD,Claim HHA Referral Code,CHAR,1.0,75.0,
VISITCNT,CLM_HHA_TOT_VISIT_CNT,Claim HHA Total Visit Count,NUM,3.0,76.0,
HHSTRTDT,CLM_ADMSN_DT,Claim HHA Care Start Date,DATE,8.0,77.0,
DOB_DT,DOB_DT,Date of Birth from Claim ,DATE,8.0,78.0,
GNDR_CD,GNDR_CD,Gender Code from Claim,CHAR,1.0,79.0,
RACE_CD,BENE_RACE_CD,Race Code from Claim,CHAR,1.0,80.0,
CNTY_CD,BENE_CNTY_CD,County Code from Claim (SSA),CHAR,3.0,81.0,
STATE_CD,BENE_STATE_CD,Beneficiary Residence (SSA) State Code,CHAR,2.0,82.0,
ZIP_CD,BENE_MLG_CNTCT_ZIP_CD,ZIP Code of Residence from Claim,CHAR,9.0,83.0,
CLM_MDCL_REC,CLM_MDCL_REC,Claim Medical Record Number,CHAR,17.0,84.0,
CLM_TRTMT_AUTHRZTN_NUM,CLM_TRTMT_AUTHRZTN_NUM,Claim Treatment Authorization Number,CHAR,18.0,89.0,
CLM_PRCR_RTRN_CD,CLM_PRCR_RTRN_CD,Claim Pricer Return Code,CHAR,2.0,90.0,
CLM_PRCR_VRSN_CD,CLM_PRCR_VRSN_CD,Claim Pricer Version Code,CHAR,10.0,107.0,New5
CLM_SRVC_FAC_ZIP_CD,CLM_SRVC_FAC_ZIP_CD,Claim service facility ZIP code (where service was provided),CHAR,9.0,91.0,
CLM_NEXT_GNRTN_ACO_IND_CD1,CLM_NEXT_GNRTN_ACO_IND_CD1,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Population based payments (PBP),CHAR,1.0,92.0,
CLM_NEXT_GNRTN_ACO_IND_CD2,CLM_NEXT_GNRTN_ACO_IND_CD2,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Telehealth,CHAR,1.0,93.0,
CLM_NEXT_GNRTN_ACO_IND_CD3,CLM_NEXT_GNRTN_ACO_IND_CD3,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Post Discharge HH visits,CHAR,1.0,94.0,
CLM_NEXT_GNRTN_ACO_IND_CD4,CLM_NEXT_GNRTN_ACO_IND_CD4,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - 3 day SNF waiver,CHAR,1.0,95.0,
CLM_NEXT_GNRTN_ACO_IND_CD5,CLM_NEXT_GNRTN_ACO_IND_CD5,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Capitation,CHAR,1.0,96.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,97.0,
FINL_STD_AMT,FINL_STD_AMT,Claim Final Standard Amount,NUM,12.0,98.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,99.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,100.0,New2
PRVDR_VLDTN_TYPE_CD,PRVDR_VLDTN_TYPE_CD,Provider Validation Type Code,CHAR,2.0,101.0,New2
RR_BRD_EXCLSN_IND_SW,RR_BRD_EXCLSN_IND_SW,Railroad Board Exclusion Indicator Switch,CHAR,1.0,102.0,New2
PPS_STD_VAL_PYMT_AMT,PPS_STD_VAL_PYMT_AMT,Claim PPS Standard Value Payment Amount,NUM,12.0,103.0,New2
CLM_MODEL_REIMBRSMT_AMT,CLM_MODEL_REIMBRSMT_AMT,Claim Model Reimbursement Amount,NUM,12.0,104.0,New3
CLM_ADJUST_GRP_CD,CLM_ADJUST_GRP_CD,Claim Adjustment Group Code,CHAR,2.0,105.0,New5
CLM_ADJUST_RSN_CD,CLM_ADJUST_RSN_CD,Claim Adjustment Reason Code,CHAR,5.0,106.0,New5
