Short SAS Name1,Long SAS Name2,Label,Type,Length
PTC_CNTRCT_ID_10,PTC_CNTRCT_ID_10,Part C Contract Number - October,CHAR,5.0
PTC_CNTRCT_ID_11,PTC_CNTRCT_ID_11,Part C Contract Number - November,CHAR,5.0
PTC_CNTRCT_ID_12,PTC_CNTRCT_ID_12,Part C Contract Number - December,CHAR,5.0
PTC_PBP_ID_01,PTC_PBP_ID_01,Part C PBP Number - January,CHAR,3.0
PTC_PBP_ID_02,PTC_PBP_ID_02,Part C PBP Number - February,CHAR,3.0
PTC_PBP_ID_03,PTC_PBP_ID_03,Part C PBP Number - March,CHAR,3.0
PTC_PBP_ID_04,PTC_PBP_ID_04,Part C PBP Number - April,CHAR,3.0
PTC_PBP_ID_05,PTC_PBP_ID_05,Part C PBP Number - May,CHAR,3.0
PTC_PBP_ID_06,PTC_PBP_ID_06,Part C PBP Number - June,CHAR,3.0
PTC_PBP_ID_07,PTC_PBP_ID_07,Part C PBP Number - July,CHAR,3.0
PTC_PBP_ID_08,PTC_PBP_ID_08,Part C PBP Number - August,CHAR,3.0
PTC_PBP_ID_09,PTC_PBP_ID_09,Part C PBP Number - September,CHAR,3.0
PTC_PBP_ID_10,PTC_PBP_ID_10,Part C PBP Number - October,CHAR,3.0
PTC_PBP_ID_11,PTC_PBP_ID_11,Part C PBP Number - November,CHAR,3.0
PTC_PBP_ID_12,PTC_PBP_ID_12,Part C PBP Number - December,CHAR,3.0
PTC_PLAN_TYPE_CD_01,PTC_PLAN_TYPE_CD_01,Part C Plan Type Code - January,CHAR,3.0
PTC_PLAN_TYPE_CD_02,PTC_PLAN_TYPE_CD_02,Part C Plan Type Code - February,CHAR,3.0
PTC_PLAN_TYPE_CD_03,PTC_PLAN_TYPE_CD_03,Part C Plan Type Code - March,CHAR,3.0
PTC_PLAN_TYPE_CD_04,PTC_PLAN_TYPE_CD_04,Part C Plan Type Code - April,CHAR,3.0
PTC_PLAN_TYPE_CD_05,PTC_PLAN_TYPE_CD_05,Part C Plan Type Code - May,CHAR,3.0
PTC_PLAN_TYPE_CD_06,PTC_PLAN_TYPE_CD_06,Part C Plan Type Code - June,CHAR,3.0
PTC_PLAN_TYPE_CD_07,PTC_PLAN_TYPE_CD_07,Part C Plan Type Code - July,CHAR,3.0
PTC_PLAN_TYPE_CD_08,PTC_PLAN_TYPE_CD_08,Part C Plan Type Code - August,CHAR,3.0
PTC_PLAN_TYPE_CD_09,PTC_PLAN_TYPE_CD_09,Part C Plan Type Code - September,CHAR,3.0
PTC_PLAN_TYPE_CD_10,PTC_PLAN_TYPE_CD_10,Part C Plan Type Code - October,CHAR,3.0
PTC_PLAN_TYPE_CD_11,PTC_PLAN_TYPE_CD_11,Part C Plan Type Code - November,CHAR,3.0
PTC_PLAN_TYPE_CD_12,PTC_PLAN_TYPE_CD_12,Part C Plan Type Code - December,CHAR,3.0
PTDCNTRCT01,PTD_CNTRCT_ID_01,Part D Contract Number - January,CHAR,5.0
PTDCNTRCT02,PTD_CNTRCT_ID_02,Part D Contract Number - February,CHAR,5.0
PTDCNTRCT03,PTD_CNTRCT_ID_03,Part D Contract Number - March,CHAR,5.0
PTDCNTRCT04,PTD_CNTRCT_ID_04,Part D Contract Number - April,CHAR,5.0
PTDCNTRCT05,PTD_CNTRCT_ID_05,Part D Contract Number - May,CHAR,5.0
PTDCNTRCT06,PTD_CNTRCT_ID_06,Part D Contract Number - June,CHAR,5.0
PTDCNTRCT07,PTD_CNTRCT_ID_07,Part D Contract Number - July,CHAR,5.0
PTDCNTRCT08,PTD_CNTRCT_ID_08,Part D Contract Number - August,CHAR,5.0
PTDCNTRCT09,PTD_CNTRCT_ID_09,Part D Contract Number - September,CHAR,5.0
PTDCNTRCT10,PTD_CNTRCT_ID_10,Part D Contract Number - October,CHAR,5.0
PTDCNTRCT11,PTD_CNTRCT_ID_11,Part D Contract Number - November,CHAR,5.0
PTDCNTRCT12,PTD_CNTRCT_ID_12,Part D Contract Number - December,CHAR,5.0
PTDPBPID01,PTD_PBP_ID_01,Part D PBP Number - January,CHAR,3.0
PTDPBPID02,PTD_PBP_ID_02,Part D PBP Number - February,CHAR,3.0
PTDPBPID03,PTD_PBP_ID_03,Part D PBP Number - March,CHAR,3.0
PTDPBPID04,PTD_PBP_ID_04,Part D PBP Number - April,CHAR,3.0
PTDPBPID05,PTD_PBP_ID_05,Part D PBP Number - May,CHAR,3.0
PTDPBPID06,PTD_PBP_ID_06,Part D PBP Number - June,CHAR,3.0
PTDPBPID07,PTD_PBP_ID_07,Part D PBP Number - July,CHAR,3.0
PTDPBPID08,PTD_PBP_ID_08,Part D PBP Number - August,CHAR,3.0
PTDPBPID09,PTD_PBP_ID_09,Part D PBP Number - September,CHAR,3.0
PTDPBPID10,PTD_PBP_ID_10,Part D PBP Number - October,CHAR,3.0
PTDPBPID11,PTD_PBP_ID_11,Part D PBP Number - November,CHAR,3.0
PTDPBPID12,PTD_PBP_ID_12,Part D PBP Number - December,CHAR,3.0
SGMTID01,PTD_SGMT_ID_01,Part D Segment Number - January,CHAR,3.0
SGMTID02,PTD_SGMT_ID_02,Part D Segment Number - February,CHAR,3.0
SGMTID03,PTD_SGMT_ID_03,Part D Segment Number - March,CHAR,3.0
SGMTID04,PTD_SGMT_ID_04,Part D Segment Number - April,CHAR,3.0
SGMTID05,PTD_SGMT_ID_05,Part D Segment Number - May,CHAR,3.0
SGMTID06,PTD_SGMT_ID_06,Part D Segment Number - June,CHAR,3.0
SGMTID07,PTD_SGMT_ID_07,Part D Segment Number - July,CHAR,3.0
SGMTID08,PTD_SGMT_ID_08,Part D Segment Number - August,CHAR,3.0
SGMTID09,PTD_SGMT_ID_09,Part D Segment Number - September,CHAR,3.0
SGMTID10,PTD_SGMT_ID_10,Part D Segment Number - October,CHAR,3.0
SGMTID11,PTD_SGMT_ID_11,Part D Segment Number - November,CHAR,3.0
SGMTID12,PTD_SGMT_ID_12,Part D Segment Number - December,CHAR,3.0
RDSIND01,RDS_IND_01,Part D Retiree Drug Subsidy Indicator - January,CHAR,1.0
RDSIND02,RDS_IND_02,Part D Retiree Drug Subsidy Indicator - February,CHAR,1.0
RDSIND03,RDS_IND_03,Part D Retiree Drug Subsidy Indicator - March,CHAR,1.0
RDSIND04,RDS_IND_04,Part D Retiree Drug Subsidy Indicator - April,CHAR,1.0
RDSIND05,RDS_IND_05,Part D Retiree Drug Subsidy Indicator - May,CHAR,1.0
RDSIND06,RDS_IND_06,Part D Retiree Drug Subsidy Indicator - June,CHAR,1.0
RDSIND07,RDS_IND_07,Part D Retiree Drug Subsidy Indicator - July,CHAR,1.0
RDSIND08,RDS_IND_08,Part D Retiree Drug Subsidy Indicator - August,CHAR,1.0
RDSIND09,RDS_IND_09,Part D Retiree Drug Subsidy Indicator - September,CHAR,1.0
RDSIND10,RDS_IND_10,Part D Retiree Drug Subsidy Indicator - October,CHAR,1.0
RDSIND11,RDS_IND_11,Part D Retiree Drug Subsidy Indicator - November,CHAR,1.0
RDSIND12,RDS_IND_12,Part D Retiree Drug Subsidy Indicator - December,CHAR,1.0
DUAL_01,DUAL_STUS_CD_01,Medicare-Medicaid dual eligibility code - January,CHAR,2.0
DUAL_02,DUAL_STUS_CD_02,Medicare-Medicaid dual eligibility code - February,CHAR,2.0
DUAL_03,DUAL_STUS_CD_03,Medicare-Medicaid dual eligibility code - March,CHAR,2.0
DUAL_04,DUAL_STUS_CD_04,Medicare-Medicaid dual eligibility code - April,CHAR,2.0
DUAL_05,DUAL_STUS_CD_05,Medicare-Medicaid dual eligibility code - May,CHAR,2.0
DUAL_06,DUAL_STUS_CD_06,Medicare-Medicaid dual eligibility code - June,CHAR,2.0
DUAL_07,DUAL_STUS_CD_07,Medicare-Medicaid dual eligibility code - July,CHAR,2.0
DUAL_08,DUAL_STUS_CD_08,Medicare-Medicaid dual eligibility code - August,CHAR,2.0
DUAL_09,DUAL_STUS_CD_09,Medicare-Medicaid dual eligibility code - September,CHAR,2.0
DUAL_10,DUAL_STUS_CD_10,Medicare-Medicaid dual eligibility code - October,CHAR,2.0
DUAL_11,DUAL_STUS_CD_11,Medicare-Medicaid dual eligibility code - November,CHAR,2.0
DUAL_12,DUAL_STUS_CD_12,Medicare-Medicaid dual eligibility code - December,CHAR,2.0
CSTSHR01,CST_SHR_GRP_CD_01,Part D low-income cost share group code - January,CHAR,2.0
CSTSHR02,CST_SHR_GRP_CD_02,Part D low-income cost share group  code - February,CHAR,2.0
CSTSHR03,CST_SHR_GRP_CD_03,Part D low-income cost share group  code - March,CHAR,2.0
CSTSHR04,CST_SHR_GRP_CD_04,Part D low-income cost share group  code - April,CHAR,2.0
CSTSHR05,CST_SHR_GRP_CD_05,Part D low-income cost share group  code - May,CHAR,2.0
CSTSHR06,CST_SHR_GRP_CD_06,Part D low-income cost share group  code - June,CHAR,2.0
CSTSHR07,CST_SHR_GRP_CD_07,Part D low-income cost share group  code - July,CHAR,2.0
CSTSHR08,CST_SHR_GRP_CD_08,Part D low-income cost share group  code - August,CHAR,2.0
CSTSHR09,CST_SHR_GRP_CD_09,Part D low-income cost share group  code - September,CHAR,2.0
CSTSHR10,CST_SHR_GRP_CD_10,Part D low-income cost share group  code - October,CHAR,2.0
CSTSHR11,CST_SHR_GRP_CD_11,Part D low-income cost share group  code - November,CHAR,2.0
CSTSHR12,CST_SHR_GRP_CD_12,Part D low-income cost share group  code - December,CHAR,2.0
