Short SAS name,Long SAS name,Label,Type,Length,DME file sequence1,New variables
RFR_UPIN,RFR_PHYSN_UPIN,Carrier/DMERC Claim Ordering Physician UPIN Number,CHAR,12.0,47.0,
RFR_NPI,RFR_PHYSN_NPI,Carrier/DMERC Claim Ordering Physician NPI Number,CHAR,12.0,48.0,
CCLTRNUM,CLM_CLNCL_TRIL_NUM,Clinical Trial Number,CHAR,8.0,49.0,
DOB_DT,DOB_DT,Date of Birth from Claim,DATE,8.0,50.0,
GNDR_CD,GNDR_CD,Gender Code from Claim,CHAR,1.0,51.0,
RACE_CD,BENE_RACE_CD,Race Code from Claim,CHAR,1.0,52.0,
CNTY_CD,BENE_CNTY_CD,County Code from Claim (SSA),CHAR,3.0,53.0,
STATE_CD,BENE_STATE_CD,Beneficiary Residence (SSA) State Code,CHAR,2.0,54.0,
ZIP_CD,BENE_MLG_CNTCT_ZIP_CD,ZIP Code of Residence from Claim,CHAR,9.0,55.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,57.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,58.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,59.0,New2
