SAS Name,Label,Type,Length,2015+ 1
ICD_PRCDR_CD2,Claim Procedure Code 2,Char,7.0,110.0
ICD_PRCDR_CD3,Claim Procedure Code 3,Char,7.0,111.0
ICD_PRCDR_CD4,Claim Procedure Code 4,Char,7.0,112.0
ICD_PRCDR_CD5,Claim Procedure Code 5,Char,7.0,113.0
ICD_PRCDR_CD6,Claim Procedure Code 6,Char,7.0,114.0
ICD_PRCDR_CD7,Claim Procedure Code 7,Char,7.0,115.0
ICD_PRCDR_CD8,Claim Procedure Code 8,Char,7.0,116.0
ICD_PRCDR_CD9,Claim Procedure Code 9,Char,7.0,117.0
ICD_PRCDR_CD10,Claim Procedure Code 10,Char,7.0,118.0
ICD_PRCDR_CD11,Claim Procedure Code 11,Char,7.0,119.0
ICD_PRCDR_CD12,Claim Procedure Code 12,Char,7.0,120.0
ICD_PRCDR_CD13,Claim Procedure Code 13,Char,7.0,121.0
PRCDR_DT1,Claim Procedure Code 1 Date,Date,8.0,122.0
PRCDR_DT2,Claim Procedure Code 2 Date,Date,8.0,123.0
PRCDR_DT3,Claim Procedure Code 3 Date,Date,8.0,124.0
PRCDR_DT4,Claim Procedure Code 4 Date,Date,8.0,125.0
PRCDR_DT5,Claim Procedure Code 5 Date,Date,8.0,126.0
PRCDR_DT6,Claim Procedure Code 6 Date,Date,8.0,127.0
PRCDR_DT7,Claim Procedure Code 7 Date,Date,8.0,128.0
PRCDR_DT8,Claim Procedure Code 8 Date,Date,8.0,129.0
PRCDR_DT9,Claim Procedure Code 9 Date,Date,8.0,130.0
PRCDR_DT10,Claim Procedure Code 10 Date,Date,8.0,131.0
PRCDR_DT11,Claim Procedure Code 11 Date,Date,8.0,132.0
PRCDR_DT12,Claim Procedure Code 12 Date,Date,8.0,133.0
PRCDR_DT13,Claim Procedure Code 13 Date,Date,8.0,134.0
CLM_OBSLT_DT,Claim Obsolete Date,Date,8.0,135.0
CLM_BPRVDR_CITY_NAME,Billing Provider Address - City,Char,30.0,136.0
CLM_BPRVDR_USPS_STATE_CD,Billing Provider Address - USPS State Code,Char,2.0,137.0
CLM_BPRVDR_ADR_ZIP_CD,Billing Provider Address - ZIP Code,Char,9.0,138.0
CLM_SUBSCR_CITY_NAME,Medicare Subscriber Address - City,Char,30.0,139.0
CLM_SUBSCR_USPS_STATE_CD,Medicare Subscriber Address - USPS State Code,Char,2.0,140.0
CLM_SUBSCR_ADR_ZIP_CD,Medicare Subscriber Address - ZIP Code,Char,9.0,141.0
BENE_CNTY_CD,Beneficiary County Code from Claim (SSA),Char,3.0,142.0
BENE_STATE_CD,Beneficiary Residence (SSA) State Code,Char,2.0,143.0
BENE_MLG_CNTCT_ZIP_CD,Beneficiary ZIP Code of Residence ,Char,9.0,144.0
GNDR_CD,Gender Code ,Char,1.0,145.0
BENE_RACE_CD,Race Code,Char,1.0,146.0
DOB_DT,Date of Birth,Date,8.0,147.0
BENE_MDCR_STUS_CD,Beneficiary Medicare Status Code,Char,2.0,148.0
TAX_NUM,Provider Tax Number,Char,10.0,149.0
BENE_STATE,Beneficiary State Postal Code,Char,2.0,150.0
