Short SAS name,Long SAS name,Label,Type,Length,DME file sequence1,New variables
LINE_OTHR_APLD_AMT2,LINE_OTHR_APLD_AMT2,Line Other Applied 2 Amount,NUM,12.0,55.0,
LINE_OTHR_APLD_AMT3,LINE_OTHR_APLD_AMT3,Line Other Applied 3 Amount,NUM,12.0,56.0,
LINE_OTHR_APLD_AMT4,LINE_OTHR_APLD_AMT4,Line Other Applied 4 Amount,NUM,12.0,57.0,
LINE_OTHR_APLD_AMT5,LINE_OTHR_APLD_AMT5,Line Other Applied 5 Amount,NUM,12.0,58.0,
LINE_OTHR_APLD_AMT6,LINE_OTHR_APLD_AMT6,Line Other Applied 6 Amount,NUM,12.0,59.0,
LINE_OTHR_APLD_AMT7,LINE_OTHR_APLD_AMT7,Line Other Applied 7 Amount,NUM,12.0,60.0,
LINE_RSDL_PYMT_IND_CD,LINE_RSDL_PYMT_IND_CD,Line Residual Payment Indicator Code,CHAR,1.0,61.0,New2
LINE_RP_IND_CD,LINE_RP_IND_CD,Line Representative Payee (RP) Indicator Code,CHAR,1.0,62.0,New2
DMERC_LINE_FRGN_ADR_IND,DMERC_LINE_FRGN_ADR_IND,Line Foreign Address Indicator,CHAR,2.0,63.0,New2
LINE_RR_BRD_EXCLSN_IND_SW,LINE_RR_BRD_EXCLSN_IND_SW,Line Railroad Board Exclusion Indicator Switch,CHAR,1.0,64.0,New2
LINE_VLNTRY_SRVC_IND_CD,LINE_VLNTRY_SRVC_IND_CD,Line Voluntary Service Indicator Code,CHAR,1.0,65.0,New3
DMERC_OXGN_EQUIP_INITL_DT,DMERC_OXGN_EQUIP_INITL_DT,Oxygen Equipment Initial Date,DATE,8.0,66.0,New5
DMERC_OXGN_INITL_DT_CD,DMERC_OXGN_INITL_DT_CD,Oxygen Equipment Initial Date Code,CHAR,1.0,67.0,New5
DMERC_OXGN_EQUIP_PRVS_DT,DMERC_OXGN_EQUIP_PRVS_DT,Oxygen Equipment Previous Date,DATE,8.0,68.0,New5
